name;frequency
Evelina;395
Gwendolyn;395
Philippine;395
Serife;394
Ils;393
Nicolle;393
Sabien;393
Lolita;392
Dorina;391
Noemi;391
Wissal;391
Armande;390
Axana;390
Kelsey;390
Lauriane;390
Leana;390
Marilyne;390
Zeyneb;388
Kendra;387
Georgine;386
Giuliana;386
Huberte;386
Iuliana;386
Naya;386
Rodica;386
Seda;386
Chadia;385
Fadila;385
Jacquelina;385
Lavinia;385
Matilde;384
Kira;383
Blanca;382
Ileana;382
Constantia;381
Ivy;381
Myla;381
Teodora;381
Kinga;380
Ludwine;380
Mariame;380
Niene;380
Asia;379
Cataleya;379
Arielle;378
Chaïmae;378
Marie-Laurence;378
Sindy;378
Gizem;377
Margherita;377
Noémi;377
Yenthe;377
Inas;375
Nayla;375
Nihad;375
Yinthe;375
Aiko;374
Cléa;373
Else;373
Mariya;373
Maysa;373
Roberte;373
Wilfrieda;373
Eefje;372
Elissa;372
Liselot;372
Hacer;371
Lorraine;371
Magorzata;371
Mirjam;371
Serpil;371
Thea;371
Grazyna;370
Kayleigh;370
Madisson;370
Clothilde;369
Myriame;369
Hope;368
Assiya;367
Léane;367
Deniz;366
Dolorès;366
Seher;366
Liya;365
Tuana;365
Augustine;364
Linsey;364
Karoline;363
Luiza;363
Marie-Cécile;361
Maéva;361
Emmanuella;360
Violaine;360
Berlinde;359
Kaylee;359
Michela;359
Arife;358
Cemile;358
Eunice;358
Warda;358
Divine;357
Frances;357
Gaetana;357
Oriana;357
Noëla;356
Alexine;355
Bea;355
Nana;355
Hazel;354
Hira;354
Ouafae;354
Ani;353
Lenthe;353
Milouda;353
Anais;352
Jinthe;352
Leontina;352
Inna;351
Michele;351
Nuray;351
Gabriëlle;350
Yaël;350
Auke;349
Djamila;349
Lutgarda;349
Lylou;349
Séléna;349
Aagje;347
Adama;347
Jacoba;347
Kassandra;347
Lisbeth;347
Salvatrice;347
Tuba;347
Leonor;346
Naëlle;346
Tatyana;346
Emmely;345
Filippa;345
Henrica;345
Malvina;345
Viorica;345
Yaëlle;345
Arianne;344
Dania;344
Inga;344
Jadwiga;344
Morena;344
Safaa;344
Defne;343
Hadja;343
Michelina;343
Nesrin;343
Nezha;343
Oliwia;343
Adela;342
Alycia;342
Ange;342
Anneliese;342
Elisabetta;342
Molly;342
Najia;342
Oana;342
Suzana;342
Chanel;341
Elya;341
Esila;341
Hasse;341
Antje;340
Léontine;340
Vincianne;340
Auriane;339
Georgiana;339
Juliet;339
Karlijn;338
Sahar;338
Ymke;338
Eugenie;337
Maura;337
Geike;336
Kylie;336
Mette;336
Laurane;335
Tia;335
Cristel;334
Hanife;334
Lorie;334
Gonda;333
Ihsane;333
Janelle;333
Joan;333
Soukaïna;333
Suze;333
Florina;332
Gabriëlla;332
Millie;332
Danaé;331
Federica;331
Jannat;331
Malou;331
Renee;331
Anca;330
Félicie;330
Juna;330
Kawthar;330
Lesly;330
Finne;329
Hermina;329
Neslihan;329
Sila;329
Vittoria;329
Wafa;329
Asli;328
Elyse;328
Imen;328
Léonce;328
Patsy;328
Yeliz;328
Santa;327
Aster;326
Benthe;326
Maha;326
Marcela;326
Noé;326
Paloma;326
Tenzin;326
Ouarda;325
Zaineb;325
Bérangère;324
Marjolijn;324
Yildiz;324
Anje;323
Ethel;323
Fadwa;323
Fatime;323
Katinka;323
Verena;323
Tille;322
Catarina;321
Döndü;321
Döne;321
Canan;320
Alaa;319
Lyne;319
Isis;318
Marie-Charlotte;318
Anni;317
Gertrud;317
Martyna;317
Meral;317
Robine;317
Roselyne;317
Anniek;316
Ludmila;316
Stephania;316
Ecrin;315
Mélody;315
Rukiye;315
Arianna;314
Damla;314
Godelive;314
Havva;314
Katerina;314
Lalie;314
Chaymae;313
Ernestine;313
Helin;313
Lexie;313
Romi;313
Aïsha;312
Alexa;311
Lisiane;311
Léonore;311
Marie-Agnès;311
Meryam;311
